society_name,price,location,area
Planet,₹73.1 Lac ,"3 BHK Apartment for Sale in Planet, Shela Ahmedabad",Carpet Area968 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyPlanetBathroom3Balcony1
D R Praharsh Serena,₹87 Lac ,"3 BHK Apartment for Sale in D R Praharsh Serena, South Bopal, Bopal Ahmedabad",Super Area1790 sqftUnder ConstructionPoss. by Oct '26TransactionNew PropertyFurnishingUnfurnishedSocietyD R Praharsh SerenaBathroom3Balcony1
Aristo Avira,₹1.47 Cr ,"3 BHK Apartment for Sale in Aristo Avira, Chharodi Ahmedabad",Carpet Area1055 sqftUnder ConstructionPoss. by Mar '30TransactionNew PropertyFurnishingUnfurnishedSocietyAristo AviraBathroom3Balcony1
Goyal Riviera Prestige,₹3.22 Cr ,"5 BHK Apartment for Sale in Goyal Riviera Prestige, Makarba Ahmedabad",Carpet Area3705 sqftUnder ConstructionPoss. by Jul '26TransactionNew PropertyFurnishingUnfurnishedSocietyGoyal Riviera PrestigeBathroom8Balcony3
Vishwanath Maher Select,₹85 Lac ,"3 BHK Apartment for Sale in Vishwanath Maher Select, Shela Ahmedabad",Carpet Area952 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedSocietyVishwanath Maher SelectBathroom3Balcony1
Turquoise Re45 ,₹2.26 Cr ,"4 BHK Apartment for Sale in Turquoise Re45 , Shantipura Circle Ahmedabad",Carpet Area2200 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedSocietyTurquoise Re45Bathroom4Balcony1
Adani Amaris,₹3.18 Cr ,"4 BHK Apartment for Sale in Adani Amaris, Jagatpur Ahmedabad",Carpet Area2470 sqftUnder ConstructionPoss. by Jul '29TransactionNew PropertyFurnishingUnfurnishedSocietyAdani AmarisBathroom4Balcony3
Swati Premier,₹1.90 Cr ,"4 BHK Apartment for Sale in Swati Premier, Shantipura Circle Ahmedabad",Carpet Area1824 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietySwati PremierBathroom4Balcony4
Goyal Orchid Regal,₹2.09 Cr ,"3 BHK Apartment for Sale in Goyal Orchid Regal, Sanand Sarkhej Road Ahmedabad",Super Area4287 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedSocietyGoyal Orchid RegalBathroom4Balcony2
Adani Belrosa,₹6.10 Cr ,"6 BHK Apartment for Sale in Adani Belrosa, Shantigram Ahmedabad",Super Area6911 sqftUnder ConstructionPoss. by May '30TransactionNew PropertyFurnishingUnfurnishedSocietyAdani BelrosaBathroom8Balcony3
Aarav Elenza Infinium,₹1.75 Cr ,"4 BHK Apartment for Sale in Aarav Elenza Infinium, Bopal Ahmedabad",Super Area3900 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedSocietyAarav Elenza InfiniumBathroom4Balcony1
