society_name,price,City,sqft,furnished_status,bhk
Nambiar District 25,30900000.0,Bangalore,2512,Unfurnished,4.0
Sobha Infinia Phase 2,38900000.0,Bangalore,1273,Unfurnished,3.0
Mana Jardin Neo,105600000.0,Bangalore,7161,Unfurnished,5.0
Prestige Smart City,71900000.0,Bangalore,3593,Unfurnished,4.0
Aspen Greens At The Prestige City,68700000.0,Bangalore,2428,Unfurnished,4.0
Mana Dale,23400000.0,Bangalore,2145,Unfurnished,4.0
Sobha Madison Heights Townpark Phase 1 W5 To 7,17500000.0,Bangalore,1240,Unfurnished,2.0
DSR The Courtyard,17100000.0,Bangalore,1608,Unfurnished,3.0
Urbanrise Paradise On Earth,50300000.0,Bangalore,2725,Unfurnished,5.0
NVT Symphony of Orchards,52800000.0,Bangalore,3519,Unfurnished,4.0
Trendsquares Synergy,16100000.0,Bangalore,1715,Unfurnished,4.0
Eaton Park at The Prestige City,31500000.0,Bangalore,2492,Unfurnished,4.0
Sumadhura Solace,37800000.0,Bangalore,2270,Unfurnished,4.0
HM Grandeur,75700000.0,Bangalore,3096,Unfurnished,3.0
Prestige North Point,24400000.0,Bangalore,1253,Unfurnished,2.0
Heriitage Signature,23900000.0,Bangalore,2275,Unfurnished,3.0
DNR Arista,36200000.0,Bangalore,2025,Unfurnished,4.0
Phoenix Kessaku,268900000.0,Bangalore,6559,Unfurnished,4.0
Sumadhura Solace,44700000.0,Bangalore,2720,Unfurnished,4.0
Adarsh Lakefront,42400000.0,Bangalore,1639,Unfurnished,3.0
Century Mirai Phase I,48600000.0,Bangalore,3115,Unfurnished,4.0
Sobha Rajvilas,41400000.0,Bangalore,1982,Unfurnished,3.0
TVS Emerald Cascadia,152300000.0,Bangalore,5244,Unfurnished,4.0
Sobha Rajvilas,45300000.0,Bangalore,2171,Unfurnished,4.0
Adarsh Lakefront,24600000.0,Bangalore,882,Unfurnished,2.0
Puravankara Orient Grand,87500000.0,Bangalore,3320,Unfurnished,4.0
Shapoorji Pallonji Parkwest Phase 2,19500000.0,Bangalore,1018,Furnished,2.0
Indraprastha Schon,260000000.0,Bangalore,7057,Furnished,4.0
Assetz 63 Degree East,31000000.0,Bangalore,1523,Unfurnished,4.0
Hiranandani Bannerghatta,23000000.0,Bangalore,1100,Furnished,3.0
Prestige Kenilworth,144900000.0,Bangalore,2800,Unfurnished,4.0
Phoenix Kessaku,90100000.0,Bangalore,3900,Unfurnished,4.0
Orchid Lakeview,18000000.0,Bangalore,1281,Furnished,2.0
Stephens Enclave,19000000.0,Bangalore,1560,Furnished,3.0
rafeeq enclave,12500000.0,Bangalore,1000,Furnished,2.0
Aswan Ventures The Courtyard Square,24900000.0,Bangalore,1595,Furnished,3.0
Aakruthi Natureville,5800000.0,Bangalore,2400,Furnished,4.0
Embassy Oasis,125000000.0,Bangalore,4084,Furnished,4.0
Godrej Aveline,45000000.0,Bangalore,2500,Unfurnished,4.0
Vajram Vivera,32900000.0,Bangalore,2406,Unfurnished,4.0
Northern Lights by Puravankara KVN,46200000.0,Bangalore,4131,Unfurnished,4.0
TVS Emerald Auralis,21600000.0,Bangalore,1793,Unfurnished,3.0
CKPC Winds of Change,11900000.0,Bangalore,1219,Unfurnished,2.0
Aratt Alchemy Essence,16900000.0,Bangalore,1754,Unfurnished,3.0
Bricks and Milestones Solcrest,21500000.0,Bangalore,2200,Unfurnished,4.0
Down By The Water,146000000.0,Bangalore,6480,Unfurnished,4.0
Down By The Water,112400000.0,Bangalore,4980,Unfurnished,4.0
Kolte Patil Lakeside 24,14600000.0,Bangalore,1574,Unfurnished,3.0
Northern Lights by Puravankara KVN,22300000.0,Bangalore,1962,Unfurnished,3.0
CKPC Winds of Change,11700000.0,Bangalore,1206,Unfurnished,2.0
Adarsh Palm Acres,56700000.0,Bangalore,3375,Unfurnished,4.0
AJMERA MARINA,16900000.0,Bangalore,1600,Unfurnished,3.0
Godrej Aveline,34200000.0,Bangalore,1900,Unfurnished,3.0
Bhartiya Garden Estate ,29300000.0,Bangalore,1651,Unfurnished,4.0
Assetz Zen and Sato,39000000.0,Bangalore,2955,Unfurnished,4.0
Assetz Soho & Sky,26300000.0,Bangalore,1339,Unfurnished,3.0
SNN Clermont,53900000.0,Bangalore,3210,Unfurnished,4.0
CKPC Winds of Change,9100000.0,Bangalore,916,Unfurnished,1.0
Northern Lights by Puravankara KVN,45000000.0,Bangalore,4017,Unfurnished,4.0
Trevoc Royal Residences,84500000.0,Gurgaon,1842,Unfurnished,4.0
Trevoc Royal Residences,66000000.0,Gurgaon,1385,Unfurnished,3.0
Technograd Society,23500000.0,Gurgaon,1950,Furnished,3.0
Ansal Project Sushant Lok 2,31000000.0,Gurgaon,2000,Furnished,4.0
Ansal Project Sushant Lok 2,35000000.0,Gurgaon,2400,Furnished,4.0
MNB Ananta Vilasa,68000000.0,Gurgaon,2800,Furnished,4.0
Luxury Floors,45000000.0,Gurgaon,3200,Unfurnished,4.0
Ansal Project Sushant Lok 2,71000000.0,Gurgaon,300,Unfurnished,4.0
Madhur Jivan Apartment,28500000.0,Gurgaon,2100,Unfurnished,4.0
Skyland Apartments,29500000.0,Gurgaon,2349,Furnished,3.0
Antriksh Royal Palm Apartments,15000000.0,Gurgaon,900,Furnished,2.0
Ansal Project Sushant Lok 2,125100000.0,Gurgaon,502,Furnished,4.0
Park Royal Apartment,30500000.0,Gurgaon,2000,Furnished,3.0
Conscient Elevate,81300000.0,Gurgaon,1855,Unfurnished,4.0
Adani Samsara Avasa,42500000.0,Gurgaon,310,Unfurnished,4.0
